#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
13.932,293.9,46.72,323.9,502.8,156.7,746.9,632.4,335.2,691.0,457.9
13.999,294.4,45.18,324.4,502.7,156.7,746.7,633.1,334.0,691.0,457.9
14.066,294.1,45.27,324.3,503.0,157.2,747.3,634.4,334.2,690.6,458.3
14.132,293.6,46.09,323.0,501.9,157.1,747.7,634.6,333.7,691.0,458.3
14.199,293.1,46.23,323.6,501.4,157.1,747.5,634.4,333.9,692.0,456.8
14.266,291.4,46.01,324.0,501.6,157.0,746.9,635.3,333.2,691.5,457.1
14.332,290.5,45.67,324.8,501.5,156.3,746.1,635.7,333.1,690.5,457.5
14.399,291.0,45.97,324.5,500.2,155.7,745.5,635.0,332.2,690.6,456.8
14.466,289.5,46.12,323.6,500.3,156.2,744.4,634.7,332.1,691.3,458.5
14.532,288.5,47.33,323.8,499.7,156.0,744.2,634.6,331.7,690.8,458.5
14.599,288.7,46.75,324.3,499.5,155.9,744.7,634.2,330.6,691.9,458.0
14.666,289.1,47.03,325.6,497.6,156.3,745.1,634.1,331.0,692.0,458.1
14.732,289.1,46.01,326.6,496.9,156.4,744.6,634.7,332.3,691.0,457.8
14.799,289.0,45.94,327.4,497.3,156.5,744.7,634.3,331.9,691.6,458.2
14.866,289.1,46.87,327.0,497.4,156.0,744.7,634.8,332.2,691.9,457.1
14.932,288.7,45.95,328.6,496.4,154.9,744.7,634.5,332.2,692.0,457.1
14.999,290.0,44.39,328.8,496.0,154.1,744.3,634.5,332.6,692.1,457.1
15.066,289.8,44.08,328.8,496.0,152.5,743.8,634.0,332.5,690.6,456.8
15.132,290.1,44.24,328.7,495.6,151.4,743.2,634.5,333.4,692.1,455.7
15.199,290.2,42.49,329.2,495.8,151.0,742.8,635.0,332.3,690.6,455.2
15.266,290.9,41.84,330.2,496.0,152.9,742.9,635.1,332.9,691.6,454.3
15.332,290.9,41.09,328.9,496.0,152.2,743.2,636.1,332.7,690.6,454.5
15.399,291.0,41.10,328.4,495.3,150.4,741.6,636.5,333.1,691.3,454.9
15.466,290.9,40.35,328.2,495.0,150.4,741.0,635.6,331.6,690.5,455.2
15.532,289.7,40.06,327.8,494.5,149.8,741.4,635.0,331.9,689.4,456.3
15.599,289.3,39.16,327.4,495.5,151.0,740.9,634.8,331.3,688.9,455.6
15.666,288.7,38.92,327.6,494.4,151.0,740.9,633.8,330.3,688.4,455.9
15.732,289.0,39.76,326.6,494.4,151.3,740.8,633.3,329.4,688.2,455.7
15.799,288.7,39.61,327.7,494.6,150.3,741.6,633.2,328.9,688.8,455.3
15.866,289.5,40.33,327.2,494.0,151.1,741.7,633.1,328.9,687.6,454.3
15.932,288.0,39.83,326.7,494.2,149.6,741.3,634.6,329.4,687.4,454.3
15.999,287.7,39.85,327.5,493.1,150.1,740.6,634.2,328.5,686.6,453.4
16.066,288.3,39.32,326.5,491.8,150.2,740.6,633.1,327.6,686.0,452.6
16.132,288.2,39.08,326.5,492.2,150.1,741.0,633.2,327.6,686.3,452.9
16.199,287.5,40.64,326.0,493.2,149.0,740.9,632.7,328.8,686.2,453.3
16.266,286.2,40.89,324.5,494.0,148.0,741.5,632.6,328.3,686.3,453.5
16.332,285.2,41.37,324.8,493.6,146.9,742.1,631.4,327.6,686.7,453.7
16.399,285.4,39.32,325.0,493.9,146.9,740.6,631.3,327.1,687.2,453.2
16.466,285.1,39.39,323.9,494.9,146.9,740.0,630.8,327.3,685.5,452.6
16.532,285.2,39.05,323.9,496.9,146.8,739.7,629.5,326.7,685.1,453.1
16.599,284.9,38.89,325.2,496.2,147.0,740.2,629.8,327.4,684.9,451.6
16.666,285.1,39.24,325.8,495.6,146.1,740.2,630.9,327.6,685.4,451.4
16.732,285.1,38.90,326.3,494.9,145.5,740.4,630.9,327.7,685.9,452.5
16.799,286.0,38.86,327.0,492.4,146.8,739.9,630.2,327.9,686.2,453.1
16.866,289.0,38.31,328.6,491.7,147.2,739.1,629.4,328.7,686.2,452.3
16.932,288.0,36.98,329.1,491.5,147.0,738.9,629.4,329.3,685.7,451.7
16.999,289.0,37.50,328.0,491.3,147.0,738.1,629.9,329.4,686.2,452.1
17.066,288.0,36.55,328.5,492.0,146.7,738.4,628.9,327.8,686.4,452.6
17.132,288.3,36.79,328.2,491.2,146.8,737.8,628.5,326.7,687.0,451.8
17.199,288.6,35.19,329.0,491.0,146.1,737.7,628.3,327.2,686.8,451.8
17.266,288.3,34.87,329.3,490.0,146.0,737.7,627.7,327.6,687.8,452.8
17.332,288.1,34.60,328.6,488.6,145.7,737.5,628.8,327.3,688.0,453.0
17.399,288.3,34.80,328.8,487.9,145.9,737.0,628.9,327.0,687.1,452.0
17.466,287.1,34.18,329.2,487.8,145.2,736.8,630.1,327.0,687.3,452.1
17.532,286.7,35.40,328.4,489.0,145.4,738.6,631.0,325.9,687.4,452.1
17.599,287.4,35.87,328.4,490.2,144.9,738.5,631.1,326.1,686.8,451.8
17.665,288.1,35.96,328.0,490.3,144.8,737.5,631.1,325.0,687.1,451.3
17.732,287.9,34.54,326.6,490.8,143.7,737.1,631.6,324.5,687.2,451.0
17.799,288.1,36.50,326.9,491.1,143.9,736.9,631.2,324.9,686.2,450.2
17.865,287.7,35.42,325.6,490.8,143.4,737.4,631.8,324.1,686.2,450.2
17.932,286.6,33.20,324.9,491.1,143.9,736.4,631.7,324.3,685.1,451.1
17.999,288.3,32.96,324.7,490.9,144.1,734.4,631.4,325.0,685.3,451.4
