#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
8.866,683.7,964.9,218.0,656.2,125.0,424.8,835.2,603.5,830.0,72.56
8.933,683.5,965.3,218.6,657.2,125.4,424.3,834.4,603.9,830.1,73.44
8.999,682.9,966.3,218.9,657.2,125.8,424.3,833.3,604.1,830.1,72.97
9.066,683.0,965.7,219.8,657.6,125.0,424.6,833.7,605.0,830.3,72.77
9.133,683.4,965.5,220.4,656.1,125.1,425.1,835.0,604.3,830.7,73.65
9.199,683.1,964.7,220.9,656.2,126.8,426.3,835.4,603.9,830.5,73.19
9.266,682.9,965.0,221.5,655.4,127.1,428.4,834.8,604.4,831.4,74.09
9.333,683.4,965.1,221.3,654.9,127.3,427.4,834.2,605.1,831.1,73.88
9.399,683.1,965.2,220.7,655.4,126.6,427.8,833.9,604.8,831.1,74.71
9.466,683.4,965.2,222.5,654.9,125.1,428.2,833.8,605.0,831.9,74.77
9.533,682.6,965.1,223.3,655.1,123.9,429.6,833.5,605.4,831.8,74.00
9.599,682.5,965.1,222.9,656.0,122.9,429.4,834.6,605.3,833.6,73.53
9.666,682.8,966.0,222.3,655.4,122.5,428.7,836.3,605.9,833.3,73.44
9.733,682.8,966.8,222.1,656.1,121.7,428.3,836.1,605.7,832.8,73.18
9.799,684.2,966.5,222.6,657.4,121.8,428.9,835.9,606.3,832.9,72.67
9.866,683.2,965.8,222.9,657.1,121.3,427.9,836.3,607.3,833.8,73.30
9.933,683.4,966.5,222.3,657.6,121.5,427.3,836.4,608.9,834.2,71.89
9.999,683.3,966.7,220.4,658.8,121.4,426.1,835.7,610.1,834.2,71.50
10.066,683.6,965.7,221.1,659.0,121.3,426.6,837.0,611.0,834.3,70.76
10.133,684.0,966.6,219.7,658.5,120.8,425.9,837.4,610.0,834.9,70.57
10.199,683.5,966.9,219.7,659.9,119.9,426.5,835.4,611.0,834.8,69.72
10.266,685.1,967.5,219.2,659.7,119.7,425.8,835.2,611.0,835.4,70.42
10.333,685.7,966.3,218.7,659.2,119.1,425.4,835.6,611.4,835.5,68.90
10.399,686.2,965.9,219.1,658.9,119.2,424.7,835.2,611.0,835.9,68.87
10.466,685.9,965.9,219.8,659.1,118.7,423.8,834.8,611.0,835.1,69.99
10.533,685.6,965.7,220.5,659.1,118.0,424.0,833.9,610.9,835.8,69.68
10.599,685.7,965.9,220.8,659.5,118.4,424.3,835.4,609.9,836.4,71.49
10.666,685.6,965.4,221.1,660.1,117.7,424.9,836.0,609.5,835.6,70.99
10.733,686.0,965.9,221.0,661.1,119.3,424.3,836.0,610.3,836.1,71.13
10.799,685.4,965.7,220.5,660.0,119.3,424.4,836.0,610.2,836.7,72.11
10.866,684.5,966.8,220.2,660.5,119.8,425.0,835.8,610.3,837.3,72.00
10.933,685.2,966.6,220.1,661.8,119.5,425.8,835.9,610.9,835.6,71.40
10.999,685.0,965.8,220.1,662.1,120.3,425.2,835.7,613.3,835.5,70.76
11.066,684.7,967.1,220.1,661.0,119.9,426.9,835.9,614.0,836.2,71.39
11.133,685.5,966.9,220.7,661.0,119.4,426.9,836.7,613.7,835.6,71.15
11.199,686.4,967.7,220.6,661.6,119.8,425.8,836.7,614.4,837.0,71.55
11.266,687.3,966.4,221.6,660.8,119.5,425.6,838.2,614.3,836.3,71.87
11.333,687.4,965.9,220.1,661.4,120.3,426.5,839.2,614.7,836.2,71.92
11.399,687.6,964.9,220.4,661.2,121.1,427.9,838.8,615.6,836.2,71.11
11.466,688.1,965.9,220.1,661.7,121.5,426.8,839.0,615.9,836.0,70.35
11.533,687.6,967.0,219.9,661.3,121.9,426.9,838.6,616.9,835.8,69.64
11.599,687.8,967.2,220.2,661.4,121.6,426.1,839.0,616.5,836.8,70.69
11.666,688.1,966.8,219.7,661.3,122.8,426.3,838.8,617.1,836.0,69.97
11.733,688.2,968.4,220.0,660.8,121.1,428.0,839.6,617.3,836.6,69.18
11.799,687.5,967.1,219.9,661.8,121.9,426.7,839.9,617.5,836.7,68.83
11.866,687.3,967.4,220.3,661.1,122.5,426.6,838.9,618.9,836.9,68.69
11.933,687.3,967.6,219.2,661.3,123.1,426.7,839.6,618.7,836.8,69.18
11.999,687.3,967.4,219.3,660.8,124.5,426.4,838.6,619.3,836.5,68.00
12.066,686.5,966.9,218.6,661.0,124.7,427.2,839.1,619.8,837.0,68.69
12.133,686.3,966.6,219.2,661.6,123.8,426.7,838.5,620.4,838.0,68.39
12.199,686.6,967.8,217.9,662.0,123.4,426.1,838.1,619.9,838.9,68.47
12.266,687.0,968.0,218.0,662.4,122.6,427.7,837.9,620.2,838.8,67.85
12.333,686.8,967.4,217.4,662.8,122.5,429.2,837.9,620.1,839.3,67.39
12.399,687.7,967.5,217.6,663.0,122.7,430.9,839.0,618.4,839.6,68.26
12.466,687.2,966.9,218.2,662.9,121.9,431.7,839.1,617.5,840.5,68.45
12.532,688.5,967.3,217.1,662.6,121.5,430.6,839.4,617.9,840.0,68.65
12.599,689.4,967.9,218.2,662.2,120.0,432.3,838.9,618.9,840.7,68.96
12.666,689.6,967.7,218.5,662.0,120.2,434.1,838.9,619.1,841.3,69.18
12.732,690.3,967.5,218.1,661.9,120.7,435.1,839.9,619.2,840.8,68.76
12.799,689.7,967.9,218.7,662.2,121.4,435.0,840.0,620.0,840.9,68.80
12.866,690.6,967.2,218.9,662.9,122.4,434.8,839.5,620.3,841.0,69.37
12.932,692.0,967.6,221.1,662.9,122.5,434.8,839.9,619.2,840.6,70.92
12.999,692.5,967.7,221.4,663.5,121.1,435.8,841.0,619.2,840.4,70.74
13.066,692.5,968.8,221.2,663.6,121.7,435.2,842.0,619.5,840.4,71.82
13.132,693.1,969.2,220.3,663.4,121.8,435.6,841.6,620.7,839.6,72.22
13.199,693.7,970.0,218.9,663.0,121.2,435.5,841.8,622.8,839.5,71.10
13.266,692.8,969.4,218.3,663.0,121.5,436.3,841.8,622.9,841.0,70.15
13.332,692.3,969.5,218.2,662.7,121.7,436.3,843.1,622.8,842.5,69.87
13.399,691.8,970.6,217.0,663.2,121.5,436.9,842.6,624.0,841.8,68.55
13.466,691.8,970.3,216.3,663.7,121.4,437.1,843.3,624.8,842.6,68.98
13.532,692.9,969.6,216.9,664.6,121.3,437.7,843.6,625.1,844.1,69.38
13.599,693.5,969.8,217.8,664.7,121.0,436.9,844.3,625.4,843.3,68.68
13.666,692.2,970.4,217.3,664.2,122.6,436.4,844.1,624.9,842.2,69.26
13.732,692.1,969.2,218.2,664.9,122.2,434.9,845.0,625.5,842.9,69.70
13.799,692.7,969.4,218.4,664.7,122.4,434.4,844.8,625.1,842.7,69.60
13.866,693.6,969.7,218.4,665.1,122.6,434.7,844.4,624.6,841.6,68.75
13.932,693.3,970.2,217.8,665.1,122.6,434.1,844.0,624.9,840.8,69.18
13.999,692.6,970.6,217.2,666.4,123.7,434.5,845.2,624.3,839.8,68.25
14.066,692.3,972.0,218.0,665.9,123.9,434.5,844.6,624.6,841.0,68.25
14.132,691.9,970.7,217.3,666.8,123.2,434.2,845.4,624.0,841.0,68.57
14.199,691.4,970.6,217.9,667.0,124.1,434.8,844.1,623.3,841.4,68.25
14.266,691.6,970.9,219.0,668.9,124.6,434.5,843.4,622.2,840.2,67.17
14.332,692.2,970.3,226.5,671.5,124.5,434.6,842.1,623.3,839.7,66.71
14.399,692.0,969.9,226.8,671.6,124.9,435.4,840.0,624.6,839.8,66.82
14.466,691.9,969.7,225.4,671.5,124.4,436.1,839.8,624.8,840.8,67.07
14.532,692.5,970.2,225.9,671.4,124.6,435.3,839.8,626.0,842.0,68.35
14.599,692.3,970.3,225.7,671.7,123.7,436.6,838.8,625.1,840.8,68.19
14.666,691.2,970.5,224.6,670.2,123.1,436.3,839.3,625.7,840.0,67.96
14.732,691.2,969.2,226.0,671.1,121.9,435.8,839.5,626.7,839.9,67.91
14.799,691.5,968.4,224.4,672.6,122.3,435.1,839.8,626.2,839.3,67.66
14.866,691.1,968.3,224.5,672.1,122.2,435.7,839.0,626.2,839.6,67.27
14.932,690.3,968.3,224.0,671.5,122.5,435.5,839.1,626.9,839.0,66.13
14.999,689.5,968.2,224.6,672.4,122.9,435.5,839.7,626.9,838.9,66.31
15.066,689.2,968.1,223.9,673.6,121.8,436.0,840.9,625.8,838.6,65.84
15.132,689.1,969.4,223.7,673.6,121.7,435.4,841.2,626.9,839.2,65.53
15.199,690.5,968.5,224.6,673.5,121.2,435.5,840.8,626.6,840.0,66.12
15.266,691.5,970.1,224.5,673.1,120.6,435.3,840.2,626.4,839.4,65.67
15.332,691.4,969.7,224.5,675.3,120.5,435.3,840.0,625.5,838.6,65.66
15.399,691.0,969.5,225.8,676.8,120.7,434.5,839.9,626.2,839.7,65.67
15.466,692.1,968.3,226.2,677.1,120.1,435.6,839.9,625.7,839.6,65.95
15.532,691.7,968.0,225.8,676.5,120.6,435.4,840.0,625.4,839.6,65.09
15.599,691.2,967.9,225.4,676.2,120.3,435.5,839.7,624.9,840.3,65.62
15.666,692.1,969.2,224.6,676.1,121.3,435.9,839.7,625.4,840.7,67.11
15.732,691.7,969.3,225.1,674.8,121.6,435.5,839.6,625.1,840.7,67.16
15.799,692.0,969.4,226.3,674.7,121.7,434.3,840.2,624.0,840.5,67.89
15.866,692.6,969.6,226.7,675.6,122.2,434.9,838.4,623.9,840.1,68.94
15.932,692.1,970.5,227.8,675.1,122.4,434.7,839.6,624.1,839.6,67.44
15.999,691.9,970.4,227.4,675.5,121.7,434.2,839.5,623.1,840.2,66.17
16.066,690.8,969.3,228.1,676.6,120.9,434.8,840.6,622.7,839.8,65.78
16.132,691.8,969.1,228.9,676.7,120.7,435.3,841.7,623.0,839.5,66.27
16.199,691.7,969.9,228.2,676.7,120.5,435.5,842.4,623.7,839.7,65.77
16.266,692.1,970.8,227.9,676.7,120.7,435.4,842.3,623.6,839.9,66.76
16.332,691.8,970.9,227.5,675.9,120.5,435.4,841.9,624.2,839.7,67.98
16.399,692.1,972.0,227.2,674.9,121.3,435.5,841.6,622.0,838.7,68.35
16.466,691.3,970.8,227.9,674.7,121.0,435.5,843.2,620.9,839.0,68.06
16.532,691.2,970.6,227.3,675.0,120.1,435.8,843.1,620.9,839.2,66.98
16.599,692.3,970.0,227.5,676.0,120.6,435.4,842.8,620.8,839.1,68.38
16.666,692.4,970.3,227.8,675.6,119.8,436.0,842.6,621.0,838.8,68.15
16.732,692.3,970.0,228.3,675.3,119.5,436.2,843.4,621.0,838.9,68.23
16.799,692.6,970.0,227.2,674.6,121.3,436.2,843.0,620.2,839.0,68.21
16.866,693.7,969.0,227.3,674.5,122.0,435.5,842.9,621.2,838.9,67.61
16.932,693.9,968.6,227.9,674.5,122.4,435.4,843.5,623.1,838.8,67.40
16.999,694.2,969.0,227.7,675.3,123.6,436.0,842.3,623.5,838.5,66.97
17.066,693.9,968.6,228.5,673.3,122.3,436.6,842.0,624.2,839.0,67.74
17.132,694.1,969.4,229.4,673.0,121.3,436.6,842.7,623.3,839.6,67.90
17.199,694.6,970.1,229.7,672.9,120.8,435.7,842.4,622.0,840.8,68.69
17.266,695.6,970.1,230.4,673.2,120.9,435.3,841.6,622.1,840.5,68.71
17.332,696.6,970.8,230.6,673.1,121.6,435.4,841.0,622.5,840.7,69.23
17.399,695.6,971.3,230.9,672.8,120.8,435.9,840.3,622.4,841.9,69.37
17.466,695.4,971.6,231.6,672.9,121.5,435.4,839.3,620.1,842.4,69.61
17.532,695.9,970.7,231.6,673.1,121.4,435.0,838.4,620.0,842.3,70.10
17.599,696.5,970.7,231.4,674.4,121.3,435.2,838.1,620.9,842.8,71.25
17.665,695.8,970.8,233.2,673.8,120.7,434.5,838.0,621.3,843.1,71.73
17.732,695.6,970.7,233.5,673.8,120.5,434.3,839.6,620.7,843.5,72.29
17.799,695.1,969.6,233.5,673.0,120.6,434.5,840.5,621.9,843.7,70.51
17.865,695.7,970.5,233.3,673.5,120.1,433.5,840.0,622.1,844.5,71.04
17.932,695.8,971.1,232.1,672.9,121.2,433.1,839.5,622.3,845.1,70.91
17.999,695.0,970.3,232.3,672.3,121.7,433.5,840.5,621.2,845.4,70.67
18.065,694.0,969.9,232.1,673.1,121.6,432.9,839.9,621.3,845.0,71.80
18.132,693.7,969.1,232.1,672.7,121.5,432.5,839.8,621.0,844.3,71.77
18.199,693.3,969.8,231.5,672.8,121.8,431.8,841.3,622.1,843.8,71.41
18.265,693.4,969.8,231.6,673.1,121.7,431.9,840.8,621.7,844.6,70.63
18.332,693.3,971.5,232.1,672.9,121.6,431.7,841.0,621.8,845.4,70.57
18.399,693.6,971.8,231.5,672.5,121.6,431.9,840.3,623.1,844.8,70.75
18.465,693.2,971.4,231.0,672.8,121.4,432.2,839.5,622.1,843.6,71.17
18.532,693.7,970.5,230.7,672.1,121.1,432.2,840.3,620.8,843.6,71.03
18.599,694.1,971.5,230.5,672.5,121.1,433.1,839.9,620.6,844.0,72.19
18.665,693.8,971.2,230.1,673.4,120.2,433.4,841.1,621.2,843.4,72.07
18.732,694.4,971.3,229.7,672.6,120.0,433.3,841.0,621.1,842.6,72.13
18.799,693.6,971.1,228.4,672.4,119.8,433.8,840.5,621.4,843.9,71.98
18.865,693.4,970.3,227.2,671.8,120.1,434.4,840.5,622.6,845.0,72.92
18.932,692.3,970.4,228.4,672.2,119.9,434.8,839.7,623.9,845.1,73.06
18.999,692.7,969.2,229.4,673.0,119.4,433.8,839.9,623.7,845.0,73.39
19.065,693.8,969.9,229.4,673.7,119.2,434.1,840.6,624.1,845.1,73.88
19.132,694.1,970.3,228.9,674.5,119.5,434.6,840.0,624.3,844.7,75.41
19.199,694.9,971.0,228.5,676.0,120.0,434.7,839.9,624.1,844.8,75.11
19.265,695.7,970.8,228.5,676.5,119.6,434.5,839.6,623.8,845.0,74.87
19.332,696.4,970.8,229.5,675.9,119.2,434.6,839.2,623.8,845.1,74.89
19.399,695.6,971.1,231.0,675.7,119.1,433.7,838.8,623.1,845.6,75.07
19.465,695.8,971.0,233.2,673.8,118.9,432.4,838.9,622.8,846.6,74.62
19.532,694.3,970.4,233.9,673.3,119.2,432.4,839.0,622.5,846.2,74.39
19.599,694.7,969.5,233.5,672.1,120.3,433.6,838.5,623.4,845.9,74.69
19.665,695.3,969.2,234.4,672.3,120.6,433.2,839.1,623.7,845.8,74.76
19.732,696.0,969.0,234.1,673.0,119.9,432.5,839.2,623.8,845.8,74.56
19.799,696.6,969.2,233.7,671.7,119.1,432.9,838.6,624.7,846.2,74.60
19.865,696.4,969.6,233.1,672.5,119.5,434.3,838.9,625.2,844.8,74.74
19.932,696.6,970.9,232.6,672.7,119.5,435.2,839.3,624.9,845.0,75.69
19.999,696.8,971.2,234.2,672.9,118.8,435.1,839.8,625.8,844.2,76.56
20.065,697.2,970.5,233.9,673.4,118.2,435.7,839.3,626.4,844.2,75.67
20.132,697.1,971.4,234.3,673.8,118.5,435.4,838.1,626.1,843.9,76.04
20.199,696.5,970.1,234.8,674.2,119.0,435.6,838.0,626.6,844.2,75.25
20.265,695.8,969.9,234.2,673.3,118.9,436.8,837.5,627.7,844.1,75.37
20.332,695.8,969.5,234.7,672.9,118.4,437.0,837.6,627.3,844.5,75.88
20.399,696.8,968.8,234.0,671.6,117.3,436.8,837.9,627.3,845.3,74.95
20.465,698.1,968.3,234.5,670.7,116.3,436.2,836.2,627.2,844.7,74.40
20.532,698.2,967.9,235.0,671.0,116.3,436.6,835.5,627.0,845.1,73.44
20.599,697.6,967.2,234.9,670.4,115.4,436.6,835.4,626.5,845.3,73.15
20.665,696.2,966.0,235.2,670.8,115.3,436.9,834.5,627.1,844.6,72.74
