#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
9.399,708.0,439.4,462.3,554.4,772.2,127.8,893.7,907.8,978.1,992.0
9.466,709.5,439.8,461.8,554.7,772.0,125.4,893.8,908.3,977.2,992.6
9.533,709.2,440.2,461.1,554.1,771.1,124.9,893.9,908.2,977.7,993.0
9.599,710.0,438.2,462.0,554.8,772.1,124.4,893.4,908.6,977.1,991.3
9.666,709.6,438.5,462.4,553.1,772.2,124.3,894.5,910.3,977.6,990.9
9.733,709.9,437.7,462.5,552.8,772.7,124.1,896.0,908.4,978.2,991.4
9.799,711.3,438.6,462.0,553.1,773.0,125.6,895.1,907.9,978.7,990.6
9.866,710.8,439.5,461.0,551.7,772.1,125.4,897.1,908.7,979.6,991.2
9.933,710.2,440.1,462.2,551.5,773.0,126.5,897.7,909.5,979.3,991.5
9.999,708.9,439.8,464.8,553.1,773.7,125.8,898.2,909.9,978.7,991.0
10.066,707.9,438.5,465.1,552.9,773.4,124.7,897.6,910.4,979.5,990.5
10.133,708.3,437.7,464.8,554.4,773.4,124.5,898.7,912.4,980.7,991.9
10.199,707.6,437.8,465.7,552.2,773.0,124.1,895.8,911.9,982.7,990.8
10.266,708.0,436.3,464.6,551.4,772.5,124.8,896.4,913.6,983.0,990.9
10.333,706.3,436.8,465.9,552.1,772.5,124.9,897.4,912.8,982.8,991.2
10.399,707.0,439.6,464.6,552.3,771.8,124.9,896.7,913.3,983.3,990.9
10.466,707.4,440.4,464.2,552.1,772.4,123.9,896.2,911.8,981.5,991.3
10.533,708.4,440.5,463.6,552.8,774.0,123.3,896.7,912.4,981.1,990.8
10.599,707.2,438.3,462.3,552.9,773.2,123.6,898.2,912.3,981.0,991.5
10.666,707.3,438.8,461.0,554.1,773.8,124.0,898.4,911.0,982.4,993.4
10.733,707.7,439.2,462.3,553.6,773.0,123.7,898.1,910.3,982.3,992.7
10.799,707.5,439.6,462.0,553.1,773.5,122.1,899.0,910.8,982.9,992.2
10.866,706.9,440.6,463.4,551.1,772.4,123.6,898.6,911.2,981.0,994.9
10.933,706.6,441.1,463.8,552.0,772.7,124.6,897.5,910.8,983.1,995.1
10.999,705.9,441.6,462.5,551.0,771.8,123.3,896.5,910.0,983.4,995.3
11.066,705.9,441.9,462.8,549.9,769.8,122.8,897.5,909.3,984.7,994.6
11.133,708.6,441.1,462.8,550.2,769.0,125.3,897.0,909.1,987.0,996.8
11.199,707.6,442.8,461.6,548.6,769.7,125.3,896.1,907.7,986.6,995.9
11.266,707.7,444.6,462.1,549.2,769.2,125.6,896.4,907.1,986.3,996.0
11.333,708.9,447.7,462.0,550.2,769.0,123.9,896.9,908.4,984.8,995.2
11.399,708.9,447.5,463.7,549.8,768.6,122.6,895.2,910.3,984.4,996.0
11.466,710.0,448.4,464.1,550.0,768.0,124.5,894.6,910.0,984.8,996.0
11.533,710.5,448.8,463.1,549.1,767.7,123.9,894.9,910.1,984.0,994.8
11.599,710.7,447.5,462.2,549.5,768.2,122.3,894.8,910.3,982.6,995.0
11.666,712.9,447.4,463.1,550.0,767.4,122.4,895.6,911.8,984.3,993.4
11.733,713.6,446.5,463.4,550.4,767.7,123.7,897.2,911.9,984.1,993.3
11.799,711.7,446.9,462.8,550.4,766.3,123.1,897.0,912.7,983.0,992.0
11.866,711.2,447.0,462.3,551.5,765.7,124.0,896.5,912.7,982.7,991.4
11.933,711.1,446.0,461.7,550.3,765.5,124.5,897.1,912.9,982.4,990.1
11.999,710.3,445.3,461.2,549.7,766.6,125.6,897.9,912.8,980.9,991.7
12.066,709.5,445.3,459.5,549.0,765.7,124.8,897.9,912.5,980.7,991.6
12.133,708.7,444.5,459.5,549.4,766.0,124.3,897.5,913.1,980.7,991.5
12.199,709.5,444.7,460.0,548.9,767.2,125.0,899.2,913.3,981.3,990.9
12.266,707.5,444.6,460.4,550.0,767.0,125.4,899.2,911.2,982.0,991.3
12.333,707.4,443.5,460.2,549.9,765.4,124.6,901.3,910.6,982.8,990.6
12.399,706.5,440.9,460.3,549.8,765.3,125.4,902.2,910.6,983.2,991.4
12.466,707.6,439.3,460.1,549.8,765.3,124.1,900.7,912.7,983.1,992.0
12.532,707.2,439.1,459.7,550.0,766.2,124.4,900.7,912.7,981.5,991.6
12.599,706.9,440.0,460.0,549.8,766.3,125.1,900.8,914.2,982.9,993.4
12.666,706.9,439.3,461.9,549.6,767.3,126.3,900.3,914.1,983.6,994.2
12.732,707.2,439.0,462.6,549.4,767.9,125.8,900.2,914.2,984.1,993.8
12.799,707.8,439.9,462.3,550.3,766.6,125.2,901.0,914.0,983.8,994.4
12.866,709.2,441.2,463.9,550.7,766.7,124.8,901.0,914.2,984.4,992.2
12.932,709.1,442.2,464.4,552.7,766.6,123.5,902.9,912.6,984.1,991.6
12.999,708.9,444.0,464.9,552.1,765.5,123.0,905.1,912.3,984.8,993.7
13.066,708.0,443.4,464.1,551.6,766.2,121.0,903.3,910.3,984.3,994.3
13.132,709.2,445.4,466.5,551.7,764.8,121.8,902.7,910.3,984.4,994.2
13.199,709.1,446.0,467.5,551.2,765.0,121.6,902.9,909.0,983.8,993.2
13.266,710.7,444.1,467.0,552.1,764.9,121.7,901.6,909.4,985.5,995.0
13.332,709.9,442.7,467.8,551.7,765.4,120.8,902.2,909.0,984.1,994.4
13.399,709.8,443.1,466.7,551.5,765.6,121.8,901.2,909.2,983.7,994.0
13.466,709.9,443.8,466.9,549.6,766.2,120.4,900.7,910.7,984.3,993.7
13.532,708.7,442.3,468.5,549.8,768.2,120.3,900.8,909.5,984.4,993.4
13.599,708.9,440.7,469.3,549.4,767.8,122.0,901.2,909.5,983.6,992.7
13.666,709.1,440.7,468.7,548.0,767.7,121.3,902.3,909.9,983.8,993.8
13.732,707.9,439.2,467.3,547.6,767.9,121.9,902.3,910.0,984.4,993.8
13.799,707.5,438.8,465.2,546.8,768.7,121.1,902.6,912.1,984.3,993.1
13.866,707.2,439.3,465.2,548.3,769.4,121.3,901.9,911.1,985.6,993.5
13.932,706.7,438.7,463.1,545.6,770.5,120.4,901.1,910.6,986.4,993.5
13.999,707.4,438.6,462.8,545.6,770.0,120.3,903.5,909.2,986.8,993.9
14.066,706.6,439.7,465.4,543.5,770.2,120.0,901.2,907.9,986.3,994.2
14.132,706.4,438.1,465.9,544.3,770.6,120.5,901.3,907.4,985.6,994.5
14.199,704.8,442.0,466.7,542.6,770.6,118.8,902.2,907.3,985.7,995.5
