#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
15.999,549.0,578.9,599.1,816.2,294.3,863.8,1.067E3,461.7
16.066,551.1,579.7,601.5,814.6,294.4,862.9,1.068E3,461.2
16.132,552.6,580.5,600.4,814.4,294.8,862.1,1.069E3,462.8
16.199,554.8,580.5,599.4,814.5,295.0,862.2,1.070E3,464.0
16.266,555.7,581.6,600.5,813.7,294.9,863.3,1.070E3,464.5
16.332,554.6,582.9,600.8,813.4,294.1,865.5,1.068E3,463.2
16.399,554.2,580.2,601.3,812.3,294.9,865.2,1.069E3,462.5
16.466,556.0,581.5,601.0,812.3,295.6,867.2,1.068E3,461.7
16.532,556.0,581.6,600.8,812.4,295.9,865.9,1.068E3,461.1
16.599,555.6,579.9,598.6,812.2,295.7,867.6,1.067E3,460.8
16.666,555.3,579.8,598.5,813.1,296.3,867.7,1.068E3,461.4
16.732,555.3,578.6,597.7,814.5,296.1,868.3,1.068E3,462.4
16.799,556.6,577.1,601.0,815.5,295.1,869.4,1.068E3,462.4
16.866,558.1,578.7,603.3,818.0,295.8,868.5,1.068E3,462.6
16.932,558.2,577.8,602.6,816.0,295.7,868.9,1.068E3,461.5
16.999,558.4,578.2,604.4,816.0,296.0,868.9,1.068E3,462.5
17.066,557.1,579.4,605.0,815.4,295.6,869.5,1.068E3,464.5
17.132,556.4,577.5,605.3,813.6,296.6,868.2,1.068E3,464.5
17.199,557.1,578.8,605.3,813.7,298.2,868.3,1.069E3,465.1
17.266,557.4,579.9,603.9,812.9,297.3,867.4,1.069E3,464.5
17.332,557.7,579.8,603.7,814.5,295.7,866.3,1.071E3,462.9
17.399,558.2,581.6,604.9,815.7,296.2,868.4,1.073E3,462.5
17.466,557.9,580.0,606.4,815.2,295.9,868.3,1.074E3,462.1
17.532,557.6,579.8,605.9,813.7,295.6,867.5,1.074E3,462.5
17.599,557.1,578.0,607.5,811.8,295.9,868.0,1.075E3,462.9
17.665,557.2,576.1,609.4,811.6,295.1,868.8,1.076E3,464.0
17.732,556.3,577.4,608.8,811.6,296.1,868.3,1.076E3,464.1
17.799,556.2,577.7,607.5,811.1,295.4,868.3,1.075E3,465.5
17.865,558.2,576.0,608.6,812.0,293.5,868.6,1.075E3,465.2
17.932,558.4,578.2,609.3,812.7,292.9,870.1,1.076E3,466.3
17.999,558.8,578.2,609.7,812.6,293.7,869.9,1.075E3,464.7
18.065,558.7,578.9,610.4,813.3,293.6,871.3,1.074E3,463.6
18.132,559.2,580.7,609.2,813.7,294.2,869.9,1.075E3,464.6
18.199,560.5,580.9,609.0,811.7,294.0,869.6,1.075E3,464.5
18.265,562.7,580.4,610.2,811.6,293.4,870.8,1.075E3,464.5
18.332,561.6,581.3,610.7,812.5,294.5,871.2,1.075E3,464.7
18.399,562.8,582.5,610.8,813.0,294.8,871.5,1.075E3,466.0
18.465,560.7,583.3,610.9,813.7,295.0,871.8,1.075E3,465.1
18.532,558.7,582.8,613.2,815.7,292.8,873.2,1.073E3,463.3
18.599,560.2,583.6,614.0,816.3,292.2,873.9,1.074E3,464.5
18.665,560.7,584.4,614.8,817.0,290.9,872.7,1.073E3,464.4
18.732,561.5,583.7,614.0,815.9,291.8,871.3,1.070E3,463.7
18.799,561.8,583.9,615.5,815.3,292.2,871.0,1.071E3,463.1
18.865,561.3,584.7,616.3,814.5,292.1,871.3,1.073E3,463.7
18.932,561.3,584.4,617.0,815.5,292.0,871.1,1.072E3,464.7
18.999,559.3,584.2,618.9,814.4,291.9,871.8,1.072E3,464.1
19.065,558.1,583.8,618.5,817.0,293.2,871.5,1.073E3,465.7
19.132,558.9,583.1,619.9,818.1,293.1,871.8,1.074E3,466.6
19.199,558.3,584.3,621.5,818.1,293.0,872.4,1.074E3,466.8
19.265,558.2,585.4,622.0,817.4,295.0,873.3,1.073E3,466.9
19.332,557.6,585.8,620.9,817.4,295.2,873.0,1.072E3,465.7
